itemId,itemname,bef_subtotal_review,subtotal_review,Tablet,Kindle,Speaker ,TV,Charger,
1,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",467,418,Y,,,,,
2,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",106,96,Y,,,,,
3,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",797,796,Y,,,,,
4,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",371,371,Y,,,,,
5,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",70,67,Y,,,,,
6,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",40,40,Y,,,,,
7,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",159,140,,Y,,,,
8,Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,22,21,,Y,,,,
9,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",51,45,Y,,,,,
10,Amazon - Echo Plus w/ Built-In Hub - Silver,590,590,,,Y,,,
11,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",217,217,Y,,,,,
12,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",561,556,Y,,,,,
13,"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",101,101,Y,,,,,
14,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",845,751,,,Y,,,
15,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers",53,53,Y,,,,,
16,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,4,4,,,,Y,,
17,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",39,32,,Y,,,,
18,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",96,96,,Y,,,,
19,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",58,58,Y,,,,,
20,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,22,22,,,,,Y,
21,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",24,24,,Y,,,,
22,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,225,225,,,Y,,,
23,"Amazon - Kindle Voyage - 6"" - 4GB - Black",82,82,,Y,,,,
,,5000,4805,12,6,3,1,1,23
